text,true brand,predicted brand,choice brand,prob brand,true model,predicted model,choice model,prob model
brown wooden table,nan,wooden,0,4.2480936496e-08,nan,brown,0,2.12219224183e-08
purple and yellow merrell athletic shoes,merrell,merrell,0,0.0396143296122,nan,merrell,0,0.000352198980995
bjour borey black and white purse,nan,bjour borey,1,0.868792294645,nan,borey,0,0.138492835027
black leather coin purse,nan,coin,0,7.30647416846e-06,nan,purse,0,2.0176064255e-07
cream leather sofa sectional,nan,cream,0,2.28294621541e-05,nan,cream,0,1.48624720005e-06
women's grey coat,nan,',0,1.02156813344e-06,nan,s,0,6.83584881072e-08
black button up v-neck long sleeved shirt,nan,v,0,1.97541992197e-05,nan,v,0,4.66703818449e-07
coral nylon zip rain jacket,nan,coral,0,4.31197253357e-05,nan,coral,0,4.90440794411e-06
red zippered bubble quilted jacket,nan,zippered,0,4.05214819108e-06,nan,zippered,0,4.12537204776e-07
black electronic cable,nan,electronic,0,0.000380766980407,nan,electronic,0,2.16787017491e-06
brown and orange long board,nan,and,0,1.03960332967e-08,nan,board,0,3.93782082876e-08
yellow pink  purple orange and blue asics sports shoes with abstract animal print,asics,asics,1,0.999690467982,nan,sports,0,9.05042937912e-05
women's high heeled shoe,nan,',0,1.01695927421e-06,nan,s,0,5.76109137443e-08
red ralph lauren polo shirt,ralph lauren,ralph lauren,1,0.999962764041,nan,polo,0,0.000232673847528
women's black strapless dress withe sequin belt,nan,strapless,0,1.25083684235e-05,nan,strapless,0,2.45725379631e-05
white and black striped knit sweater,nan,striped,0,3.84828003849e-06,nan,and,0,3.05714295832e-08
black Hoodie,nan,Hoodie,0,0.00967842181863,nan,Hoodie,0,0.000460947989997
women's black crinkle tonal sequin accent sheer blousy v-neck tank top,nan,v,0,4.00954106646e-06,nan,top,0,1.28631254561e-05
red button down long sleeves polo,nan,red,0,3.48647744117e-08,nan,polo,0,3.1560149027e-06
white pearl chunky necklace,nan,pearl,0,1.17102508595e-05,nan,pearl,0,4.40236401723e-07
black denim jeans,nan,jeans,0,8.19746867852e-07,nan,denim,0,2.23653510394e-08
white floral  lace cap sleeve shirt,nan,white,0,2.30912944314e-09,nan,white,0,2.97686169692e-09
black suede ankle strap chunky heeled platform sandals,nan,suede,0,7.26133307494e-05,nan,suede,0,9.94356874556e-07
black jacket,nan,jacket,0,2.74944181906e-09,nan,jacket,0,3.11564511601e-08
black scoop neck short sleeve top,nan,scoop,0,4.11157893345e-09,nan,top,0,2.21611863385e-06
arena  black snap sock size 40-45,arena,snap,0,0.00232113647735,nan,40,0,0.0662604915204
metallic silver coin purse,nan,metallic,0,6.17386354197e-05,nan,metallic,0,3.55574073822e-06
women's grey and white tie-dye long sleeve coat,nan,tie,0,5.72231811666e-05,nan,tie,0,3.39345233712e-07
black and blue plastic boots,nan,plastic,0,0.000207029386672,nan,plastic,0,2.07876422981e-07
white bed linen,nan,bed,0,2.92458085698e-05,nan,bed,0,4.20566209265e-07
women's black skinny pants,nan,skinny,0,1.90648269962e-05,nan,skinny,0,3.60076479612e-07
pink and white ralph lauren long sleeved collared mini skirt,ralph lauren,ralph lauren,1,0.999989729193,nan,lauren,0,1.95364602306e-06
pink and white puma soccer cleats,puma,puma,1,0.999997397588,nan,soccer,0,5.37518502595e-05
women's black spaghetti strap zip up mini dress,nan,spaghetti,0,4.66905979825e-06,nan,spaghetti,0,3.41025780923e-07
