text,true brand,predicted brand,choice brand,prob brand,true model,predicted model,choice model,prob model
KONSOLLBORD - H85 B 65 D 34,nan,KONSOLLBORD,0,0.00427884293199,nan,H85 B,1,0.576269888111
Merrell innetreningssko str 37. Fint brukt. ,Merrell,Merrell,1,0.999542603187,nan,innetreningssko,0,0.0436436428566
"Ray Bans Aviator, green classic m gull, svært pent brukt",Ray Bans,Ray Bans Aviator,1,0.999989968216,Aviator,Aviator,0,0.0733002523641
Veske fra Bjørn Borg selges. ,Bjørn Borg,Bjørn Borg,1,0.999999617895,nan,Bjørn,0,3.43034497148e-07
Lite pengepung i skinn fra Mango (10x10 cm). Ubrukt!,Mango,Mango,1,0.999999797711,nan,Lite,0,4.85212019566e-06
EKORNES 3 seter skinnsofa m/sjeselong og nakkestøtte. 3 år,EKORNES,EKORNES,1,0.619409695905,nan,EKORNES,0,0.0100879316816
Leux deux genser xs ,Leux deux,Leux,1,0.977108595369,nan,deux,0,0.0316187635535
Mørk lilla fra Acne Jeans str xs,Acne Jeans,Acne Jeans,1,1.0,nan,Jeans,0,4.3394524278e-06
Gaustatoppen skalljakke fra Bergans str. M. Lite brukt.,Bergans,Bergans,1,0.999999900738,Gaustatoppen,Gaustatoppen,0,5.27348166772e-05
Ralph Laurent jakke. Str S. Fremstår som ny. ,Ralph Laurent,Ralph Laurent,1,0.999544806756,nan,Ralph,0,0.000247209754964
"Bil-lader til Sony Ericson! HHolder til på Kapp, Østre T)",Sony Ericson,Sony Ericson,1,0.997155607362,nan,Ericson,0,0.0015657568701
Land yachtz longboard lite brukt,Land yachtz,yachtz,0,0.0347312408685,nan,longboard,0,0.000747161868381
Asics.str42.brukt1gang.for små.kr800.kansendes imot bet. ,Asics,Asics,1,0.989443378918,nan,Asics,0,7.40300030618e-05
Pumps fra Jeffrey Campbell. Str 38. ,Jeffrey Campbell,Jeffrey Campbell,1,0.999999998534,nan,Campbell,0,5.49378286839e-06
"Nokia 1020, brukt. Fungerer så godt som ny, original eske",Nokia,Nokia,1,0.999986948142,1020,1020,0,0.0233771932629
"Polo RL strikkejakke, 12 mnd og piquee 18 mnd",RL,RL,1,0.963985137754,nan,RL,0,0.017664234343
Sort penkjole. Pent brukt. Størrelse 34. Vere Moda,Vere Moda,Vere Moda,1,0.990108168621,nan,Vere,0,0.0040636179463
Genser fra carlings. Str L,carlings,carlings,1,0.999999937984,nan,carlings,0,2.24503196544e-09
Pomp de Lux genser med hette - pent brukt str 110/116,Pomp de Lux,Lux,0,0.0279747221986,nan,Lux,0,0.000389656099427
Lekker kate moss for topshop kjole. Sort. Brukt en gang,kate moss for topshop,kate,0,0.00455523757427,nan,moss,0,9.97213829072e-05
Vår jakke fra Stene r . Størrelse  ca 46 ,Stene,Stene,1,0.999999447212,nan,Vår,0,5.3568087447e-06
Perlesmykke (aldri brukt) hentes i oslo/akershus område,nan,Perlesmykke,1,0.997480448701,nan,Perlesmykke,0,0.000155681129671
Benetton blå pen bukse . Str SM. Passer gutt 5/6 år,Benetton,Benetton,1,0.973766183069,nan,Benetton,0,6.09263352701e-05
Blonde topp st M,nan,Blonde,0,0.000383646002251,nan,Blonde,0,7.58491829316e-07
Ganni sko. Str 38 - ubrukte,Ganni,Ganni,1,0.999999654522,nan,sko,0,3.33233992746e-08
Svart enkel kjole fra Acne. Str xs(stor i str),Acne,Acne,1,0.999999999979,nan,.,0,5.95477876891e-09
"25 par sokker selges, kjøper betaler frakt!",nan,25,0,2.68330433002e-05,nan,25,0,2.43754589901e-05
ACCESSORIZE clutch/veske. ,ACCESSORIZE,ACCESSORIZE,1,0.999094840668,nan,ACCESSORIZE,0,0.000470815405344
"Tøff jakke fra Line of Oslo,ubrukt",Line of Oslo,Line of Oslo,1,0.999994521851,nan,Oslo,0,5.76811493989e-05
"Ubrukte Black Diamond ""seeker""  27.5 selges. B vare!",Black Diamond,Black Diamond,1,0.999731207078,seeker,Diamond,0,0.0372834349216
Michael Kors skinnbukse. Skinn stretch i str. 2 (26),Michael Kors,Michael Kors,1,0.999999547238,nan,26,0,5.55649067679e-07
Polo Ralph Lauren kjole str 2 år,Polo Ralph Lauren,Polo Ralph Lauren,1,0.807631292807,nan,Polo,0,7.23664190425e-06
Røde og hvite puma fotballsko grus 36.5-37 pent brukt,puma,puma,0,0.0307708435973,nan,Røde,0,2.3644344039e-06
Kjole fra oneness st M,oneness,oneness,1,0.999999594204,nan,st,0,4.15314558691e-05
Vårjakke fra Forever 21. Pent brukt. Str. S,Forever 21,Forever 21,1,0.99999999869,nan,S,0,7.44267796505e-08
Cardinal Lysekrone fra Bohus. Ubrukt. Selges halv pris! ,Bohus,Bohus,1,0.999276390422,Cardinal,Cardinal,0,0.000181158606246
Marc jacobs veske ,Marc jacobs,Marc jacobs,1,0.99998342517,nan,jacobs,0,2.06771152094e-05
Sidi. Sykkelsko. 46. Oslo,Sidi,Sidi,1,0.99996259015,nan,Oslo,0,1.70342157878e-06
Bukse i str. 26 fra Verso selges. Lite brukt,Verso,Verso,1,0.965845886045,nan,Verso,0,6.48331085198e-06
Sort cardigan fra Pimkie str small,Pimkie,Pimkie,1,0.999995125135,nan,Pimkie,0,1.03778087658e-07
Light The way! #avedaearthmonth #aveda #snapsale 150 kr pr lys,aveda,The,1,0.992626273873,nan,Light,0,0.00176507567656
Tastatur fra Apple selges. Lite brukt,Apple,Apple,1,0.999999822606,nan,selges,0,2.19416694609e-06
Shorts i str. S fra Vero Moda selges.,Vero Moda,Vero Moda,1,0.999999999553,nan,Shorts,0,6.69136156483e-06
Burberry langermet bomullsg. 14 år/165 cm. Brukt 2-3 ggr.,Burberry,Burberry,1,0.958048630858,nan,bomullsg,0,2.74515860965e-05
Ankle high ultra thin kr0 frakt,nan,Ankle,0,0.000539375105246,nan,ultra,0,6.08652908736e-05
